resolution_id,description
68,"NYC Parks inspected and determined this site does not rate high enough to be repaired by NYC Parks at this time.   We understand conditions may become worse over time. In three years, you may submit a service request via 311, the Parks website, or NYC Tree Map for a new inspection.   You can repair the sidewalk yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website."
69,The Police Department reviewed your complaint and provided additional information below.
70,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue."
71,"The New York City Economic Development Corporation determined that this issue is not within its jurisdiction because the helicopter did not belong to a tour company departing from a NYC heliport.Â  Instead, it was most likely a law enforcement or news gathering helicopter not subject to the routing protocols established for tour helicopters. It may also have been a helicopter that departed as a charter or tour from another City but flew over NYC airspace. Helicopter tours originating from outsid"
72,NYC Parks has completed the requested work order and corrected the problem.
73,The Police Department responded to the complaint and a report was prepared.
74,The Department of Buildings reviewed this complaint and referred it to the Department of Housing Preservation and Development for further action.
75,NYC Parks visited the site and inspected the condition. No work is necessary at this time.
76,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.
77,NYC Parks inspected the condition and determined that no work was needed.
78,"The Department of Sanitation (DSNY) will only remove abandoned motor vehicles (no boats) without license plates from private property.Â  If a motor vehicle is left abandoned on your property, you may ask the DSNY to remove it. Vehicles owned by the property owner are not eligible for this service. The property owner must complete a waiver and email it to customerservice@dsny.nyc.gov.Â  Access to the property is required and there will be a fee for removal."
79,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs."
80,The Department of Environmental Protection has investigated this complaint and has performed repair work.
81,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.
82,The condition was inspected and determined not to be under Department of Transportation's jurisdiction. The Department of Transportation notified the appropriate responsible party of the complaint.
83,The Department of Transportation has determined that this issue is not within its jurisdiction. It has been referred to the Department of Sanitation.
84,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.
85,"The NYC Health Department has responded to your service request. For inspection results, please call (212) 676-1600 or email infobfscs@health.nyc.gov to request an inspection report. This service request has been closed."
86,See notes for information.
87,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint."
88,The NYC Health Department has investigated your complaint. You can get the status by calling 311 or (646) 632-6101 on weekdays between 9 AM and 5 PM. This service request has been closed.
89,"The Department of Transportation inspected the condition, sent notice to responsible party, and temporary repairs were made to make the area safe."
90,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Department of State. Call (800) 697-1220 or visit dos.ny.gov.
91,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint."
92,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.
93,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.
94,"The Department of Consumer and Worker Protection (DCWP) closed your NYC311 Service Request.   DCWP couldn't take action on your complaint because it didn't include important details, such as your contact information or the business's name or location.  If you would like to pursue this complaint, you can file a new NYC311 Service Request. Please provide more information about the complaint so DCWP can help you."
95,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.
96,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.
97,The City has removed the graffiti from this property.
98,The Department of Environmental Protection will keep the location under observation for idling commercial vehicles.Â Summonses will be issued when warranted.
99,The contractor has reported that the requested work has been completed.
100,The Department of Transportation inspected the condition and sent notice to responsible party. Temporary repairs were made to make the area safe.
101,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.
102,The Department of Environmental Protection investigated this complaint and shut the running hydrant.
103,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 579-6777 (BRONX)."
104,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below."
105,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. A message was left for the complainant at the phone number provided.
106,"The Taxi and Limousine Commission was unable to reach you or leave a message. If you want to pursue this complaint, please open a new Service Request that includes your daytime phone number."
107,NYC Parks has reviewed the reported condition and corrected the problem.
108,"The Department of Consumer and Worker Protection (DCWP) provided information about your complaint. You can find it in the Notes to Customer section of your NYC311 Service Request.  If you didn't get the information, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number."
109,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information."
110,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint."
111,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.
112,"The Department of Environmental Protection (DEP) sent the dog owner a warning letter. It includes recommendations on how to reduce their dog's barking. DEP also sent you a letter to acknowledge your complaint.   DEP expects it may take about six weeks for the changes they recommend to take effect.   If the excessive dog barking continues after that time, please file a new Service Request."
113,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Department of Agriculture and Markets. Call (800) 554-4501 or visit agriculture.ny.gov.
114,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.
115,"NYC Parks created a work order for the tree condition. Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more "
116,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.
117,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.
118,The location does not meet the criteria for Litter Basket placement.
119,The Department of Buildings reviewed this complaint and referred it to the Department of Transportation for further action.
120,"The Department of Transportation reviewed its records and could not find a violation for your sidewalk. The City can only repair sidewalks which have received a violation. If you are the owner and you would like to make your sidewalk eligible for City Repair, call 311 or visit www.nyc.gov/311 online to report the damage on your sidewalk."
121,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.
122,"The Taxi and Limousine Commission (TLC) called and left a message for you. They needed to confirm the details of your complaint. When you did not respond within 14 days, your complaint was closed. If you still want to pursue this complaint, you can open a new Service Request with a daytime phone number included."
123,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit t"
124,The Department of Environmental Protection investigated this complaint and resolved the leak.
125,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint."
126,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.
127,"An inspection of this property was conducted and violations were identified. The owner is correcting the condition. If the condition persists, please submit another complaint to 311."
128,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.
129,"The Department of Sanitation (DSNY) inspected the lot and notified the property owner that they must clean it. At the agency's follow-up inspection, they found the lot was clean."
130,NYC Parks visited the location but could not find the tree condition you reported.
131,The Department of Transportation inspected the condition and issued a summons.
132,NYC Parks performed the work necessary to correct the condition.
133,The Department of Buildings reviewed this complaint and referred it to the Department of Sanitation for further action.
134,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible."
135,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer."""
136,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. A message was left for the complainant at the phone number provided but received no response.
137,The Department of Transportation has determined that this issue is not within its jurisdiction.
138,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field."
139,The Department of Transportation (DOT) found that the issue you reported is a Department of Sanitation (DSNY) issue.  Please file a new service request with the DSNY.
140,The Department of Environmental Protection investigated this complaint and repaired or replaced the hydrant.
141,A sidewalk dismissal inspection (work done by owner) has been scheduled. Department of Transportation is in direct contact with the responsible party.
142,The Department of Environmental Protection investigated this complaint and determined that no further action is required.
143,The Department of Transportation inspected this complaint and repaired the problem.
144,The NYC Health Department (DOHMH) found a service request already exists for the same location. This request has been closed. DOHMH is addressing the original request.
145,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information."
146,NYC Parks inspected and determined that the site is ineligible for the Trees and Sidewalks Program because of one or more of the following reasons:  - The property adjacent to the sidewalk is not in Tax Class 1 - The property adjacent to the sidewalk is not owner-occupied - The property adjacent to the sidewalk contains a place of business  You can repair the sidewalk yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks websit
147,The Department of Transportation has determined that this issue is not within its jurisdiction. It has been referred to the Department of Parks and Recreation.
148,The Department of Transportation has completed the request or corrected the condition.
149,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.
150,The mobile outreach response team went to the location provided but could not find the individual that you reported.
151,The Department of Transportation inspected the condition you reported and issued a notice to the responsible party to correct the condition.
152,NYC Parks informed the responsible public utility who will correct the condition.
153,"The Department of Consumer and Worker Protection (DCWP) Enforcement Division inspected the business.  To get inspection results, visit nyc.gov/dcwp. If you have any questions, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number."
154,The Department of Environmental Protection determined that an inspection is warranted to investigate this complaint.
155,The Department of Buildings has made an attempt execute an access warrant at this property that resulted in no access. Another attempt will be made.
156,"Upon inspection the reported condition was not found, and, therefore, no action was taken."
157,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
158,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint."
159,"NYC Parks couldnât respond to your complaint because they didn't have enough information about the condition or location.  If the problem still exists and you would like to pursue this complaint, please submit a new Service Request with a more detailed description of the condition and/or location."
160,The Department of Sanitation found an open service request already exists for the same location.
161,The Department of Buildings reviewed this complaint and determined that no further action was necessary.
162,"The City inspected the property for cleaning, but no graffiti was found."
163,The vehicle you reported has been removed by the Department of Sanitation.
164,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.   You should contact the New York State Education Department's Office of the Professions. Call (800) 442-8106 or visit op.nysed.gov.
165,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree "
166,The Department of Health and Mental Hygiene closed this complaint and referred it to another agency because it was not within its jurisdiction.
167,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.
168,"The Department of Sanitation (DSNY) tagged the vehicle to confirm it was abandoned. When DSNY returned, the vehicle wasn't in the same exact location. This indicated that the vehicle wasn't abandoned. DSNY closed your Service Request. No further action will be taken."
169,"Your NYC311 Service Request was closed because it's a duplicate of a complaint you already reported.  For information about the original complaint, contact the Department of Consumer and Worker Protection (DCWP).  You can check the status of your complaint at nyc.gov/dcwp or call DCWP Consumer Services at (212) 487-4110. You must provide your original NYC311 Service Request number."
170,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more"
171,"The Department of Environmental Protection has investigated this complaint and a leak, not a city issue, has been resolved by homeowner."
172,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance."
173,"The Department of Homeless Services (DHS) visited the location but could not find the condition you reported. If it still exists, please submit a new Service Request."
174,"The Department of Environmental Protection (DEP) closed your Service Request because it didn't include your full name and address. DEP needs this information to respond to the complaint.  If the excessive barking continues, please file a new Service Request with your full name and address."
175,This Service Request is not within the Department of Sanitationâs jurisdiction and/or was found to be unsubstantiated.
176,The Department of Environmental Protection investigated this complaint and cleaned the culvert.
177,The Department of Transportation (DOT) repaired the bench described in your request.
178,The Department of Transportation inspected the condition and issued a notice to the responsible party to correct the condition.
179,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. A letter was sent after phone messages received no response.
180,DSNY already has a request to investigate this reportedly abandoned vehicle and cannot open multiple service requests for the same vehicle at once. Your request is being closed while we action the prior report.
181,"The Department of Transportation inspected the condition and determined it was in compliance with their standards, not hazardous, or a valid permit exists."
182,"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. The timeframe for repair work depends on available funding for the program, the severity of damage, and the other sidewalk requests in the surrounding district."
183,"The Department of Consumer and Worker Protection (DCWP) Enforcement Division is reviewing your NYC311 Service Request.   If the Enforcement Division needs to conduct an inspection, it may take 35 days to complete.  Please wait 35 days from the date of this update before calling DCWP for status.  You can get status by calling DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number."
184,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint."
185,The Department of Environmental Protection investigated this complaint and sent it to the Bureau of Environmental Compliance for further action.
186,The personnel involved in the incident were counseled and reminded of the proper procedures to follow.
187,The Department of Homeless Services did not have enough information to act on your request.
188,The Taxi and Limousine Commission was unable to identify the driver or car service company named in your complaint.
189,The Department of Buildings has investigated this complaint and found evidence of conditions that present an imminent danger duing occupancy of a portion of the property. A partial vacate order has been issued.
190,The Department of Sanitation (DSNY) tagged the vehicle to confirm it was abandoned. The owner then claimed the vehicle. DSNY closed your Service Request. No further action will be taken.
191,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Department of Transportation (DOT). NYC311 can help you file a complaint or contact the agency for further assistance.
192,"In an effort to more fully and efficiently service each city block, NYC Parks is shifting their street tree planting program to a neighborhood approach.  If the site that you requested meets the criteria for planting, NYC Parks will plant a tree through their new Neighborhood Tree Planting Program.   NYC Parks is no longer accepting new tree planting requests. Each neighborhood will be surveyed, inspected, and planted sequentially. NYC Parks foresters will be conducting tree removal, stump remov"
193,The Department of Sanitation investigated and found that the bike did not meet the criteria to be classified as derelict.
194,"The Department of Sanitation (DSNY) found an open Service Request already exists for the same location.   DSNY's system can't accept more than one complaint per address at a time. Your Service Request has been closed. DSNY will address the Service Request that was filed previously.  If you filed that Service Request, you can get the status with your Service Request number at nyc.gov/311 or by calling 311.  If you didn't file it, you can get the status by calling DSNY at (212) 291-1220."
195,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap."
196,The Department of Environmental Protection investigated the complaint and determined that the condition is the responsibility of the home or business owner.
197,The Department of Environmental Protection investigated this complaint and made a repair.
198,"The Department of Transportation inspected the location more than six months ago and has notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code."
199,"The Department of Transportation inspected the condition and issued a summons to the responsible party. A re-inspection will be done within 10 days. If the condition still exists, a second summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs."
200,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Department of Sanitation (DSNY). NYC311 can help you file a complaint or contact the agency for further assistance.
201,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
202,The graffiti on this property has been scheduled to be removed by the City.
203,The Department of Homeless Services has reviewed your Service Request and determined that the issue is not within its jurisdiction.
204,NYC Parks determined that this issue is not within its jurisdiction. Please contact the Metropolitan Transportation Authority for assistance at www.mta.info.
205,The Department of Sanitation (DSNY) inspected but didn't see a violation of their rules. Your Service Request has been closed.
206,The Department of Health and Mental Hygiene has investigated the Service Request. No Health Code violations or health hazards were noted. No further action is needed.
207,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department."
208,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. The complaint was closed because attempts made to contact the complainant by phone and/or letter received no response.
209,NYC Parks couldn't respond to your complaint because they had to devote resources to other critical services at the time. The agency will use your complaint for future planning.
210,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.
211,"The Department of Environmental Protection only received one complaint for this location.  However, we did keep the area under observation for possible reoccurrence of air or noise pollution infractions."
212,The Taxi and Limousine Commission reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.
213,"The NYC Health Department (DOHMH) closed your service request. They referred your complaint to the Department of Environmental Protection (DEP). DEP's Air Resources Program will address the issue. To learn more, contact DEP at nyc.gov/dep."
214,The Department of Sanitation (DSNY) visited the business. They didn't find the condition you reported. Your Service Request has been closed.
215,The request submitted did not have sufficient information for the Department of Transportation to respond.
216,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN)."
217,The Taxi and Limousine (TLC) reviewed your complaint. The conduct described in your report is not a violation of TLC rules. TLC has sent you a written confirmation of this outcome.
218,The Department of Buildings reviewed this complaint and referred it to the New York Police Department for further action.
219,The Department of Buildings reviewed this complaint and assigned it to the Internal Audits and Discipline Division for further action.
220,The Department of Buildings investigated this complaint and issued a partial stop work order violation.
221,The property owner is aware of the graffiti and ordered it not to be removed.
222,The Department of Sanitation (DSNY) gave the business a violation.
223,The Department of Buildings investigated this complaint and removed the stop work order.
224,"The Department of Sanitation (DSNY) investigated and addressed the issue. If the problem still exists, please file a new complaint."
225,The Department of Buildings reviewed this complaint and referred it to the Department of Consumer Affairs for further action.
226,The Department of Housing Preservation and Development contacted an occupant of the apartment or building and verified that the complaint was addressed.  The complaint has been closed.
227,The individual was found and outreach assistance was offered.
228,An inspection of the property was conducted and no violations were found.
229,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.
230,"The Department of Health and Mental Hygiene regulates restaurants and other establishments that mostly sell food which is prepared on the premises. New York State Agriculture and Markets regulates those establishments that mostly sell pre-packaged food, including supermarkets, bodegas, green markets, fish and meat markets, and delis. This Service Request was referred to the New York State Agriculture and Markets."
